que
punc
arma
cano
qui
primus
ab
ora
fatum
profugus
uenio
litus
multus
ille
et
terra
jacto
altus
uis
superi
saevus
memoro
ob
ira
quoque
bellum
patior
dum
condo
urbs

deus
genus
unde
albanique
pater
atque
alo
moenia
musa
ego
causa
quo
numen
laedo
quis1
doleo
regina
tot
volvo
casus
insignis
pietas
uir
adeo
labor
impello
tantus
animus
caelestis
antiquus
sum
teneo
colonus
contra
longus
ostium
diues
opos
asper1
quam
fero
magis
omnis
unus
posthabeo
colo1
hic
currus
regnum
dea
gens
si
sino
iam
tum
foveo
progenies
sed
enim
sanguis
duco
audio
olim
verto
arces;
hinc
populus
latus
rex
superbus
excidium1
sic
is
metuo
memor
ad
pro
caris
gero
necdum
etiam
dolor
excido1
maneo
mens
re-pono
iudicium
sperno
iniuria
forma
inuideo
rapio
honor
accendo
super
aequor
totus
reliquiae
immitis
arceo
per
annus
erro1
ago
mare
circum1
molio
uix
e
conspectus
tellus
in
uelum
do
laetus1
spumo
sal
aer
ruo
cum2
aeternus
servo
sub
pectus
uulnus
sui
inceptum
desisto
vinco
neque
possum
teucrorum
averto
quippe
veto
palla
exuro
classis
ipse
summergo
pontus
noxa
furio2
oilei
rapidus
jaculor
nubis
ignis
ratis
uentus
exspiro
transfigo
flamma
turbo
corripio
infigo
acuto;
at
diuus
incedo
soror
coniunx
gero1
quisquam
adoro
praeterea
aut
supplex
ara
impono
honorem?
talis
flammo
cor
voluto
nimbus
patria
locum1
fetus1
furo
aeoliam
uastus
antrum
luctor
sonorus
imperium
premo
vinclum
carcer
freno
indignor
magnus
murmur
mons
claustra
fremo
celsus
sedeo
arx
sceptrum
tempero
ni
facio
profundum
aura
omnipotens
spelunca
abdo
ater
insuper
foedus
certus
laxo
scio
iubeo
habena
uox
utor
aeole
namque
tu
homo
mulceo
fluctus
tollo
inimicus
nauigo
porto
penates
incutio
obruo
puppis
diuerto
dissice
corpus
ponto.
bis
septem
praesto2
nympha
pulcher1
conubium
jungo
stabilis
dico
ut
mereo
exigo
pulcher
proles
parentem.
tuus
o
quis
opto
exploraris
capesso
fas
quicumque
concilio
epulis
accumbo
potentem.
ubi
dictum
cavus
converro
cuspis
uelut
agmen
factum
perflo
incubo
sedes
imus
nosco
procella
vastus
insequor
strido
rudens1
eripio
subeo
nubes
ex
oculus
nox
intono
polio1
creber
mico
aether
intento
mors
extemplo
solvo
frigor
membrum
ingemo
duplex
tendo
sidus
palmo
refero
quater
beati
ante
os
contingo
oppeto
fortis
tudide
occumbo
campus1
non
anima
effundo
dextera
telum
iaceo
ingens
simois
unda
scutum
uoluit!
strideo
uelis
adverso
ferio
frango
remi
prora
cumulo
praerumpo
aqua
mons.
superus
pendeo
dehisco
inter
aperio
aestus
harena
tres
arrepo
saxum
lateo
torqueo
uoco
medius
dorsum
immanis
brevio
syrtes
urgeo
miserabilis
uideo
uadum
aggero2
cingo
fidus1
veho
uertex
excutio
magister
uoluo
caput
ter
ibidem
voro
vertex
appareo
raris
no1
gurges
troia
gaza
validus
nauis
ueho
grandaevus
uinco
hiems
laxus
latus2
compages
accipio
imber
fatisco
interea
misceo
sentio
stagnum
refundo
grauis
commoueo
prospicio
summus
placidus
effero
dis-jacio
opprimo
ruina
dolus
frater
irae.
dehinc
for
fiducia
vester
caelum
meus
sine
audeo
moles
ego--sed
moveo
praesto
compono
fluctus.
post
similis
poena
committo
luo1
maturo
fuga
uester
pelagus
tridens
sors
eurus
domus
aula
claudo
uentor
regnet.
aio
cieo
tumidus
placo
fugo
reduco
cumothoe
simul
annitor
acuo
detrudo
scopulus
leuo
vasto
rota
leuis
perlabor
ueluti
saepe
coorior
seditio
ignobilis
uulgus
fax
volo2
furor
ministrat;
fors
conspicio1
sileo
auris
asto
rego
cunctus
cado
fragor
postquam
genitor
inveho
flecto
equus
lorum
secundus
defatiscor
propior
cursus
contendo
peto
secedo
locus
insula
portus
efficio
objectus2
sinus
scindo
rupes
mino
scopulis
tueor
silua
scaena
coruscus
desuper
ater1
nemus
immineo
umbra.
frons
intus
dulcis
sedile
nympharis
uinculum
ullus
uncus2
alligo
ancora
morsus
huc
colligo1
numerus
amor
egredior
potio2
tabeo
artus
pono
silex
scintilla
excudo
sub-capio
folium
aridus
nutrimenta
fomes
flamma1
corrumpo
expedio
res
recipio
torreo
paro1
conscendo
iactas
biremis
celsus1
nullus
cervus
armentum
sequor
tergum
vallo
pascor
consto
manus
sagitto
fidus
cornu
arboreus
sterno
frondeus
turba
prior
absisto
uictor
fundo1
humus
aequo
socius
partio2
uinum
bonus
deinde
onero
trinacrio
abeo
heros
diuido
maereo
ignaris
malus
finis
rabies
sono
accestis
experior
revoco
timor
mitto
forsan
memini
iuuo
varius1
discrimino
quiesco
ostendo
illic
resurgo
duro
secundis.
aeger
spes
uultus
simulo
uia
semita
monstro
ascendo
collis
aspecto
arces.
miro
magalia
quondam
porta
insto
ardeo
pars
murus
subvolvo
optaris
tectum
concludo
sulco;
ius
lego2
senatus
alius
effodio
theatrum
fundamentum
loco
columna
decus
apto
sum1
qualis
apis
aestas
nouus
floreus
rus
exerceo
sol
adoleo1
educo1
fetus
liqueo
mel
stipo
distendo
nectaris
cella
onus
uenientum
ignavus
fucus
pecus
praesaepe
arcent;
ferueo
opus
